"country_name","country_code","anio","tasa_de_cambio_oficial"
"Singapur","SGP",2023,1.34276666666667
"Islas Salomón","SLB",2000,5.08893083333333
"Islas Salomón","SLB",2010,8.06450134408602
"Islas Salomón","SLB",2023,8.37559677613046
"Sierra Leona","SLE",2000,2.092125
"Sierra Leona","SLE",2010,3.97808666666667
"Sierra Leona","SLE",2023,21.3048751103818
"El Salvador","SLV",2000,8.755
"El Salvador","SLV",2010,1
"El Salvador","SLV",2023,1
"San Marino","SMR",2000,1.08270508132601
"San Marino","SMR",2010,0.754308990105979
"San Marino","SMR",2023,0.924709622987356
"República Federal de Somalia","SOM",2000,NA
"República Federal de Somalia","SOM",2010,31269.6625712251
"República Federal de Somalia","SOM",2023,NA
"Serbia","SRB",2000,63.1659
"Serbia","SRB",2010,77.7228416666667
"Serbia","SRB",2023,108.402691666667
"África al sur del Sahara (excluido altos ingresos)","SSA",2000,NA
